epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5869,0.9835,3.43395,1.25048,0.00167,0.5,0.16618,0.14932,0.9658,4.30025,1.44949,2e-05,2e-05,2e-05
2,35.4276,1.00714,3.49179,1.30926,0.00167,0.5,0.16624,0.16617,0.78491,4.15949,1.32112,5.92575e-05,5.92575e-05,5.92575e-05
3,46.2928,0.94558,3.20411,1.19883,0.00278,0.83333,0.16878,0.16756,0.63862,4.06127,1.19237,9.7525e-05,9.7525e-05,9.7525e-05
4,59.5713,0.73731,2.70236,1.08957,0.00278,0.83333,0.16968,0.1679,0.62731,4.03101,1.1195,0.000134803,0.000134803,0.000134803
5,71.3611,0.70728,2.47504,1.07024,0.00333,1,0.31763,0.18528,0.6477,3.90405,1.02886,0.00017109,0.00017109,0.00017109
6,85.6322,0.74982,1.98948,0.96259,0.00333,1,0.66412,0.39312,0.79391,3.6417,1.05648,0.000206388,0.000206388,0.000206388
7,104.433,0.68534,1.86244,0.95559,0.00709,0.83333,0.80802,0.44045,0.94749,3.37779,1.005,0.000240695,0.000240695,0.000240695
8,120.503,0.58286,1.52198,0.96486,0.00693,0.83333,0.77258,0.46628,0.95434,3.39295,1.02075,0.000274012,0.000274012,0.000274012
9,132.235,0.68726,1.60879,0.94687,0.00333,1,0.77261,0.42417,0.94873,3.42873,1.02068,0.00030634,0.00030634,0.00030634
10,143.89,0.71278,1.49475,1.00803,0.00333,1,0.77975,0.36179,0.89108,3.55701,1.00782,0.000337677,0.000337677,0.000337677
11,154.616,0.73914,1.69164,0.91136,0.00333,1,0.78787,0.49694,0.82841,3.42662,0.98327,0.000368025,0.000368025,0.000368025
12,165.369,0.61134,1.37191,0.9069,0.00333,1,0.6569,0.49021,0.81139,3.39819,0.96564,0.000397383,0.000397383,0.000397383
13,175.852,0.68719,1.51235,0.89891,0.00333,1,0.61563,0.41876,0.76886,3.54393,0.97845,0.00042575,0.00042575,0.00042575
14,186.52,0.682,1.23693,0.89762,0.72868,0.5,0.5351,0.36244,0.86987,3.49754,1.0104,0.000453128,0.000453128,0.000453128
15,197.555,0.71859,1.40455,0.92303,0.64771,0.31438,0.43569,0.27979,0.96766,3.46152,1.01205,0.000479515,0.000479515,0.000479515
16,211.976,0.80779,1.45313,0.92731,0.63317,0.29983,0.40589,0.2509,0.99564,3.45155,1.06442,0.000504913,0.000504913,0.000504913
17,228.78,0.83856,1.2548,0.98473,0.0528,0.66667,0.50064,0.31434,0.97595,3.38781,1.05278,0.00052932,0.00052932,0.00052932
18,245.339,0.67734,1.36193,0.98686,0.00603,0.66882,0.55028,0.42536,0.96486,3.43471,1.02382,0.000552738,0.000552738,0.000552738
19,256.461,0.67422,1.18364,0.92628,0.65179,0.16667,0.28796,0.24316,0.9912,3.42784,1.00234,0.000575165,0.000575165,0.000575165
20,267.462,0.73909,1.43652,0.98705,0.70038,0.16667,0.23287,0.19614,0.90239,3.55834,0.98765,0.000596603,0.000596603,0.000596603
21,278.47,0.60589,1.18507,0.9269,0.38301,0.16667,0.23749,0.18154,0.91887,3.61892,1.02708,0.00061705,0.00061705,0.00061705
22,289.502,0.74112,1.3838,0.96902,0.00692,0.73529,0.2326,0.18773,0.92965,3.61281,1.02978,0.000636507,0.000636507,0.000636507
23,300.028,0.89323,1.267,1.04834,0.00333,1,0.22392,0.16471,0.96122,3.50885,1.03122,0.000654975,0.000654975,0.000654975
24,314.206,0.80476,1.2507,1.06424,0.00333,1,0.25584,0.15265,1.07404,3.37839,1.05864,0.000672452,0.000672452,0.000672452
25,325.521,0.81289,1.33574,0.96431,0.00333,1,0.5061,0.31705,1.0721,3.33288,1.05139,0.00068894,0.00068894,0.00068894
26,336.309,0.76025,1.42821,0.983,0.00333,1,0.3527,0.24099,1.01795,3.35578,1.0489,0.000704437,0.000704437,0.000704437
27,347.016,0.67382,1.18838,0.8724,0.11383,0.5,0.23661,0.16536,0.9342,3.33905,1.03622,0.000718945,0.000718945,0.000718945
28,358.596,0.79,1.17373,1.02964,0.11383,0.5,0.23661,0.16536,0.9342,3.33905,1.03622,0.000732463,0.000732463,0.000732463
